"director","content_type","content_count","avg_quality_score","genres_worked_in","first_release_year","latest_release_year","recent_works_count","years_active","rank_by_volume"
"Vishal Bhardwaj","Movie","5","1.0","[Children & Family Movies, Action & Adventure, Dramas]","2005","2017","0","12","87"
"Wilson Yip","Movie","5","1.0","[Action & Adventure]","2006","2019","0","13","88"
"Ava DuVernay","Movie","5","0.96","[Children & Family Movies, Documentaries, Dramas]","2008","2018","0","10","89"
"Ahmad El-Badri","Movie","4","1.0","[Comedies]","2008","2012","0","4","90"
"Ahmed Nader Galal","Movie","4","1.0","[Action & Adventure, Comedies, Dramas]","2007","2018","0","11","91"
"Antoine Fuqua","Movie","4","1.0","[Action & Adventure, Dramas]","2001","2013","0","12","92"
"Antonio Campos","Movie","4","1.0","[Dramas]","2008","2020","0","12","93"
"Anurag Basu","Movie","4","1.0","[Action & Adventure, Comedies, Dramas]","2007","2020","0","13","94"
"Brian Levant","Movie","4","1.0","[Children & Family Movies, Action & Adventure]","1992","2010","0","18","95"
"Bruno Garotti","Movie","4","1.0","[Children & Family Movies, Comedies]","2019","2021","2","2","96"
"Chia-Liang Liu","Movie","4","1.0","[Action & Adventure]","1980","1986","0","6","97"
"Chris Stokes","Movie","4","1.0","[Thrillers, Comedies]","2016","2019","0","3","98"
"Clay Glen","Movie","4","1.0","[Children & Family Movies]","2011","2021","1","10","99"
"Cristina Jacob","Movie","4","1.0","[Comedies, International Movies]","2014","2019","0","5","100"
"Alastair Fothergill","TV Show","3","1.0","[British TV Shows]","2001","2011","0","10","1"
"Hsu Fu-chun","TV Show","2","1.0","[International TV Shows]","2011","2021","1","10","2"
"Iginio Straffi","TV Show","2","1.0","[Kids' TV]","2017","2017","0","0","3"
"Rob Seidenglanz","TV Show","2","1.0","[Crime TV Shows, TV Action & Adventure]","2019","2020","0","1","4"
"Shin Won-ho","TV Show","2","1.0","[International TV Shows]","2012","2014","0","2","5"
"Stan Lathan","TV Show","2","1.0","[Stand-Up Comedy & Talk Shows]","2017","2017","0","0","6"
"Ken Burns","TV Show","2","0.9","[Docuseries]","1990","2014","0","24","7"
